Class,Symbol,Company Name,Industry,Close,Dividend Yeild,DPR,"Money Trail 
(dividend)","Price Trail
(1 year price)",DPR filter,At least 3 supports,Easy Filter,S&P500 league,Strike below,News,Chart,previous s2,previous s1,previous low,s2,s1,low
champion,ABM,ABM Industries Incorporated,Finance,37.28,1.93%,57.32%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,36.14,https://seekingalpha.com/symbol/ABM?s=ABM,https://stockcharts.com/h-sc/ui?s=ABM,31.99,33.83,31.81,30.1,33.22,36.14
champion,ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,40.91,3.42%,42.01%,Safe,Safe,TRUE,TRUE,TRUE,TRUE,40.7,https://seekingalpha.com/symbol/ADM?s=ADM,https://stockcharts.com/h-sc/ui?s=ADM,38.91,40.7,41.58,40.6,41.87,40.39
champion,ADP,"Automatic Data Processing, Inc.",Technology,163.7,1.93%,76.92%,Risky,Risky,FALSE,TRUE,FALSE,TRUE,158.18,https://seekingalpha.com/symbol/ADP?s=ADP,https://stockcharts.com/h-sc/ui?s=ADP,134.26,143.64,148.15,144.17,151.96,158.18
champion,AFL,Aflac Incorporated,Finance,49.53,2.18%,27.59%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,48.57,https://seekingalpha.com/symbol/AFL?s=AFL,https://stockcharts.com/h-sc/ui?s=AFL,46.53,47.84,48.18,47.13,48.57,48.29
champion,ALB,Albemarle Corporation,Basic Industries,75.56,1.95%,21.14%,Risky,Safe,TRUE,TRUE,FALSE,TRUE,73.57,https://seekingalpha.com/symbol/ALB?s=ALB,https://stockcharts.com/h-sc/ui?s=ALB,72.9,82.09,79.8,72.07,77.03,73.57
champion,AOS,A.O Smith Corporation,Consumer Durables,55.91,1.57%,29.46%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,53.54,https://seekingalpha.com/symbol/AOS?s=AOS,https://stockcharts.com/h-sc/ui?s=AOS,44.86,48.39,50.26,49.07,51.2,53.54
champion,APD,"Air Products and Chemicals, Inc.",Basic Industries,202.57,2.29%,58.98%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,189.15,https://seekingalpha.com/symbol/APD?s=APD,https://stockcharts.com/h-sc/ui?s=APD,156.93,169.06,178,173.55,182.25,189.15
champion,AROW,Arrow Financial Corporation,Finance,33.8,3.08%,39.91%,Risky,Moderate,TRUE,TRUE,FALSE,FALSE,32.93,https://seekingalpha.com/symbol/AROW?s=AROW,https://stockcharts.com/h-sc/ui?s=AROW,30.44,32.93,31.58,29.24,31.06,32.89
champion,ARTNA,Artesian Resources Corporation,Public Utilities,35.04,2.77%,62.01%,Risky,Moderate,FALSE,TRUE,FALSE,FALSE,34.57,https://seekingalpha.com/symbol/ARTNA?s=ARTNA,https://stockcharts.com/h-sc/ui?s=ARTNA,32.43,35.84,36.81,34.57,35.92,34.32
champion,ATO,Atmos Energy Corporation,Public Utilities,100.98,2.08%,50.51%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,99.37,https://seekingalpha.com/symbol/ATO?s=ATO,https://stockcharts.com/h-sc/ui?s=ATO,91.7,95.28,98.16,95.81,99.37,98.66
